metric_id,metric_name,metric_group,business_definition,calculation_rule,numerator,denominator,required_fields,valid_record_rule,aggregation_method,display_format,direction,suppression_rule_id,important_caveat,status
discharge_count,Discharges,Volume,Number of inpatient discharge records in the selected context.,COUNT_ROWS,Number of eligible discharge rows,Not applicable,,Include all released discharge records,Count,"#,0",Context,COUNT_1_TO_10,Discharge count is not a unique-patient count.,APPROVED
facility_count,Facilities,Volume,Number of distinct nonmissing permanent facility identifiers.,DISTINCT_COUNT(Permanent Facility Id),Distinct valid facility identifiers,Not applicable,Permanent Facility Id,Permanent Facility Id is nonmissing,Distinct count,"#,0",Context,NONE,Facility identifiers may be suppressed for some records.,APPROVED
total_los_days_lower_bound,Total LOS Days — Lower Bound,Length of Stay,Total observed inpatient days after representing 120+ as 120.,SUM(LOS numeric lower bound),Sum of valid numeric LOS lower bounds,Not applicable,Length of Stay,LOS is numeric or is the recognized 120+ top-coded value,Sum,"#,0",Context; volume-dependent,DENOMINATOR_LT_11,This understates exact inpatient days because 120+ values are right-censored.,APPROVED
average_los_lower_bound,Average LOS — Lower Bound,Length of Stay,Average numeric LOS after representing 120+ as 120.,SUM(LOS numeric lower bound) / COUNT(valid LOS records),Total LOS days lower bound,Discharges with valid LOS,Length of Stay,LOS is numeric or is the recognized 120+ top-coded value,Ratio of sums,0.0,Higher values may warrant investigation,DENOMINATOR_LT_11,The result is a lower-bound mean and is sensitive to skewness.,APPROVED
median_los_lower_bound,Median LOS,Length of Stay,Median LOS after representing 120+ as its observable lower bound.,MEDIAN(LOS numeric lower bound),Not applicable,Discharges with valid LOS,Length of Stay,LOS is numeric or is the recognized 120+ top-coded value,Median,0.0,Higher values may warrant investigation,DENOMINATOR_LT_11,Median LOS is robust but does not replace total-days analysis.,APPROVED
p95_los_lower_bound,P95 LOS,Length of Stay,Ninety-fifth percentile of the observable LOS lower bound.,"PERCENTILE_CONT(LOS numeric lower bound, 0.95)",Not applicable,Discharges with valid LOS,Length of Stay,LOS is numeric or is the recognized 120+ top-coded value,Percentile,0.0,Values above 1.00 may warrant investigation,DENOMINATOR_LT_11,The percentile may be affected when top-coded cases are included.,APPROVED
top_coded_los_count,Top-Coded LOS Discharges,Length of Stay,Number of discharges whose released LOS is 120 days or more.,COUNT(Length of Stay classified as 120+),Top-coded LOS discharges,Not applicable,Length of Stay,Length of Stay matches the confirmed top-code,Count,"#,0",Context,COUNT_1_TO_10,The exact stay duration is unavailable.,APPROVED
top_coded_los_rate,Top-Coded LOS Rate,Length of Stay,Percentage of valid LOS records that are top-coded.,Top-coded LOS discharges / discharges with valid LOS,Top-coded LOS discharges,Discharges with valid LOS,Length of Stay,Use records with valid released LOS,Ratio of sums,0.0%,Context,RATE_SMALL_CELL,"This measures censoring prevalence, not clinical performance.",APPROVED
total_charges,Total Charges,Financial,Total valid billed hospital charges.,SUM(valid Total Charges),Sum of valid positive Total Charges,Not applicable,Total Charges,Total Charges is numeric and greater than zero,Sum,"$#,0",Context,DENOMINATOR_LT_11,"Charges are not reimbursement, revenue, or audited expense.",APPROVED
average_charge_per_discharge,Average Charge per Discharge,Financial,Average billed charge among discharges with valid charges.,SUM(valid Total Charges) / COUNT(valid charge records),Total valid charges,Discharges with valid positive charges,Total Charges,Total Charges is numeric and greater than zero,Ratio of sums,"$#,0",Context,DENOMINATOR_LT_11,Highly sensitive to right-skewed observations.,APPROVED
median_charge_per_discharge,Median Charge per Discharge,Financial,Median valid billed charge per discharge.,MEDIAN(valid Total Charges),Not applicable,Discharges with valid positive charges,Total Charges,Total Charges is numeric and greater than zero,Median,"$#,0",Context,DENOMINATOR_LT_11,Charges do not measure hospital profitability.,APPROVED
total_estimated_costs,Total Estimated Costs,Financial,Total released analytical cost estimate.,SUM(valid Total Costs),Sum of valid positive Total Costs,Not applicable,Total Costs,Total Costs is numeric and greater than zero,Sum,"$#,0",Context,DENOMINATOR_LT_11,Total Costs does not represent audited hospital expense.,APPROVED
average_estimated_cost_per_discharge,Average Estimated Cost per Discharge,Financial,Average estimated cost among records with valid cost values.,SUM(valid Total Costs) / COUNT(valid cost records),Total valid estimated costs,Discharges with valid positive costs,Total Costs,Total Costs is numeric and greater than zero,Ratio of sums,"$#,0",Lower is generally favorable,DENOMINATOR_LT_11,Case-mix-adjusted cost performance is not established here.,APPROVED
median_estimated_cost_per_discharge,Median Estimated Cost per Discharge,Financial,Median valid estimated cost per discharge.,MEDIAN(valid Total Costs),Not applicable,Discharges with valid positive costs,Total Costs,Total Costs is numeric and greater than zero,Median,"$#,0",Lower is generally favorable,DENOMINATOR_LT_11,This is an analytical estimate—not audited expense.,APPROVED
charge_to_cost_ratio,Charge-to-Cost Ratio,Financial,Aggregate charges divided by aggregate estimated costs.,SUM(Total Charges for paired-valid records) / SUM(Total Costs for the same paired-valid records),Total Charges among paired-valid records,Total Costs among the same paired-valid records,Total Charges|Total Costs,Both Total Charges and Total Costs are numeric and positive,Ratio of sums,0.00,Context,DENOMINATOR_LT_11,Do not calculate the mean of discharge-level charge-to-cost ratios.,APPROVED
ed_origin_discharge_rate,ED-Origin Discharge Rate,Admission Context,Percentage of eligible inpatient discharges associated with the emergency department indicator.,ED-indicator discharges / discharges with known ED indicator,Discharges mapped to ED = Yes,Discharges with known ED indicator,Emergency Department Indicator,ED indicator is mapped and nonmissing,Ratio of sums,0.0%,Context,RATE_SMALL_CELL,This should not automatically be described as avoidable ED use.,APPROVED
emergency_admission_rate,Emergency Admission Rate,Admission Context,Percentage of eligible discharges classified as emergency admissions.,Emergency admissions / discharges with known admission type,Discharges mapped to Emergency,Discharges with known admission type,Type of Admission,Admission type is mapped and nonmissing,Ratio of sums,0.0%,Context,RATE_SMALL_CELL,Admission mix reflects patient population and service structure.,APPROVED
major_extreme_severity_rate,Major or Extreme Severity Rate,Case Mix,Percentage of discharges classified as major or extreme APR severity.,Major-or-extreme severity discharges / discharges with known severity,Major or extreme APR-severity discharges,Discharges with known APR severity,APR Severity of Illness Description,APR severity is known and mapped,Ratio of sums,0.0%,Context,RATE_SMALL_CELL,This is a case-mix descriptor—not an outcome metric.,APPROVED
major_extreme_mortality_risk_rate,Major or Extreme Mortality-Risk Rate,Case Mix,Percentage of discharges classified as major or extreme APR risk of mortality.,Major-or-extreme risk discharges / discharges with known APR mortality risk,Major or extreme APR mortality-risk discharges,Discharges with known APR mortality risk,APR Risk of Mortality,APR mortality-risk category is known and mapped,Ratio of sums,0.0%,Context,RATE_SMALL_CELL,APR risk of mortality is not observed mortality.,APPROVED
peer_expected_los_days,Peer-Expected LOS Days,Benchmarking,"Expected total LOS based on statewide peer-group mean LOS, excluding the benchmarked facility.",SUM(discharge-level leave-one-facility-out peer mean LOS),Sum of eligible peer-expected LOS values,Not applicable,Permanent Facility Id|APR DRG Code|APR Severity of Illness Code|Length of Stay,"Valid LOS, facility, APR-DRG, severity, and sufficient peers",Sum,"#,0",Context,DENOMINATOR_LT_11,This is a descriptive peer baseline—not a predicted clinical LOS.,APPROVED
los_actual_to_peer_expected_ratio,LOS Actual-to-Peer-Expected Ratio,Benchmarking,Observed LOS days divided by peer-expected LOS days.,SUM(observed LOS lower bound) / SUM(peer-expected LOS),Observed LOS days lower bound,Peer-expected LOS days,Permanent Facility Id|APR DRG Code|APR Severity of Illness Code|Length of Stay,Discharges with valid observed and expected LOS,Ratio of sums,0.00,Values above 1.00 may warrant investigation,DENOMINATOR_LT_11,Unmeasured hospital structure and case-mix differences remain.,APPROVED
